title,content,tokens
Page 11,"11But as usual, the gray is the biggest part. I hate watch ing iso lat- ed small por tion s of my city de stroyed, just as much as the coun trydis likes watch ing it on CNN. But I see the gray. As much as I dis likethe ri ot er’s tac tic s, they’re a nec es sary com po nen t in the broad erspec trum of the move men t. We need ex tremes to move the nee dle,and that nee dle has been s ta tion ary far too long. This isn’t to say po- lice should n’t keep riots at bay, or swift ly end vi o len t fac tion s with inthe move men t. Every thing in its right place.This isn’t a par ti san thing. You need ex tremes on both sides. Ihate right- wing mili ti a tac tic s, but they help move the nee dle tokeep ne olib er al gov ern men t from get ting too big. Too much ex trem- is m is too much, but the gray keeps that in check too.Whether you like it or not, we are ac tu al ly all in this to geth er.Em brace the gray, there is good in the gray.",296
Page 12,"12Born in a Pandemic - ChrisTeso - MediumBy Chris TesoSource: https://christeso.medium.com/born-in-a-pandemic-7ea42556a9e5 Sal va tore en tered the world at 12:50 on a Fri day morn ing, in a hos- pi tal room, in the mid dle of a glob al pan dem ic. He’s one of the ﬁrstCoro nial s™, a gen er a tion that will grow up learn ing from par ents ofthe u nique, sad, and chaot ic time in which they ar rived.For two trimester s we had planned for a home birth, but theworld banned plans a bit ago. Emily’s water broke two weeks early.Con trac tion s s tart ed, but didn’t progress fast e nough. After wait ing72 hours for them to pick up, we made the d if ﬁ cult de ci sion to headinto the hos pi tal to in duce be fore sep sis could dig in.Being in a hos pi tal with a preg nan t part ner right now is like be-ing in an episode of Walk ing Dead, only ac tu al ly ter ri fy ing. Peo plein haz mat stopped us out front and record ed our tem per a tures withwhat looked like a tri corder. Guard s stopped us at the next check- point. Peo ple asked ques tion s like “have you trav elled to the fol low- ing lo ca tion s in the last week?”. En tire wings, hall ways, and rooms",369
Page 13,"13were taped off. Get ting into the labor and de liv ery ward felt like wehad achieved se cret clear ance. Sick peo ple walk ing the hall wayslooked gen uine ly s cared.Emily was in labor for 27 hours and re cov ery for 15. She’s wasbe yond a maz ing going through this ex pe ri ence with poise andstrength , e s pe cial ly when the ex pe ri ence was the op po site of herplan. The en tire time we didn’t leave the room, but many peo plecame and went. Doc tors, nurs es, food de liv ery, clean ing crews, andmore. Not a s in gle per son wore a mask, or any PPE. Not ONE.When I asked why they sim ply re spond ed that there was none. Nopro tec tive gear for the peo ple tasked with heal ing the most in fec- tious peo ple in the most in fec tious build ing in the mid dle of a pan- dem ic. Got it.I was so thank ful to not live in NY or other c ities that havebanned part ner s from at tend ing birth s, but all I could think of whilebeing in there was how can I get us the fuck out and get my ﬁrst- born home safe with out any of us con tract ing the virus. With eachnew per son en ter ing our room I grew ever more im pa tien t. We pres- sured them into let ting us leave the same day Emily had Sal. Walk- ing out under su per vi sion through the en tire hos pi tal to get to theonly exit they’ve left open was sur re al.We’re home, safe, and asymp to matic for now. I’ve been en ragedabout the com ing wave of death s, and our gov ern men t’s slow re ac- tive re sponse to the pan dem ic for a while. The math has been on thechalk board for some time, and I was an early preach er. I won’t re- hash that here, you can read the tweet s.I’m be yond mad at this point, and can’t be lieve we’re not all over-throw ing these in ef fec tu al bums. This mix of anger and new dadwon der men t is an odd cock tail.",549
Page 14,"14Im mense thank you to all the health care work er s that are bust- ing their asses every day in a woe ful ly un der staffed, ill e quipped,over worked, con t a m i nat ed en vi ron men t. So much re spec t.I’m so happy to have a healthy in cred i ble son mak ing me feel alove I’ve never felt be fore. I hope the best for every one, and hope wecan change course be fore the num ber s keep fol low ing the growthcurve → https://getlegit.app/covid19.Stay safe.",141
Page 15,"15End The War On CarsSource: https://scribe.rip/just-opinions/end-the-war-on-cars-9185989fc091 O rig i nal ly writ ten as an op-ed in the Ore gon ian → https://www.oregonlive.‐com/opinion/2019/12/opinion-portland-should-end-its-war-on-cars.html?utm_cam‐paign=oregonian_sf&utm_medium=social&utm_source=twitter.I ride a bike and a mo tor cy cle, drive a jeep, run many milesweek ly, and am a pedes tri an. I have no trans porta tion bias. I’m hereto say we need cars, and Port land should end the war on them. Forrea son s I don’t un der stand, this topic is very e mo tion al for a lot ofpeo ple, and they ex press this by de mo niz ing dri ver s. The de bate forme is s ta tis ti cal, not e mo tion al. Dri ving still makes the most sensefor the most peo ple.",263
Page 16,"16De spite the enor mous amoun t of tax dol lars spent on plan ning,build ing in fra struc ture, and mar ket ing al ter na tive forms of trans- porta tion, the num ber of cars on Port land roads has in creased whilethe per cent age of peo ple choos ing an al ter na tive has de creased. Ride data sup plied by Trimet . Pop u la tion by U.S. Cen sus Bu- reau.In 2000, res i dents took 61 rides per capi ta per year, ac cord ing to Tri-Met’s data. Pret ty small. Since then, as the pop u la tion served by Tri-Met surged n ear ly 30%, the re gion spent more than $13 bil lion in de- vel op men t and sub si dized high- density, mixed- use hous ing projectsin light- rail and other tran sit cor ri dors. The re sult s? In the ﬁs cal yearend ing June 30, 2019, res i dents took just 56 rides per capi ta per year,a drop of 8%. Even s mall er. As in most other c ities, Port land tran sitrid er ship per cent age is de clin ing while the num ber of reg is teredcars is ris ing. The ex per i men t has failed. How ev er, Metro, the re- gion al gov ern men t for the Port land area, the city’s lead er s andtrans porta tion bu reau con tin ue to pro pose a fa mil iar so lu tion tothis: levy taxes, and make it more painful to drive. Ad vo cates claimthe mass tran sit ex per i men t is fail ing be cause we’re ac tu al ly not",407
Page 17,"17spend ing e nough. I’d agree if the data showed in cre men tal progressthat was cor re lat ed with 13 bil lion dol lars of his tor i cal spend, butthat’s not the case.Peo ple vote every day for their pref er ence of trans porta tion,and de spite the trans porta tion bu reau’s war on cars that has dras ti- cal ly re duced speed s, e lim i nat ed lanes, and cre at ed bar ri er s that in- crease con ges tion, peo ple over whelm ing ly choose to drive.It’s time the city rec og nize the real rea son s why peo ple drive byun der stand ing why they don’t use other modes. Bike ad vo cates saypeo ple don’t bike be cause it’s un safe. They be lieve e nough safe tyfund ing will sure ly con vince every one to ped dle to work. In re al i ty,only 2 peo ple died bik ing in 2017 and 2018. Trag ic, but 2! That’s un- de ni ably safe. For most peo ple, bik ing vs dri ving is more about ar- riv ing to your des ti na tion dry, not sweat ing, not car ry ing a bag,prox im i ty, they have kids, e quip men t, or are un able to do phys i calex er cise. They say peo ple don’t ride buses or the Max be causethey’re not u biq ui tous e nough. But it’s more about pri va cy, anx i ety,safe ty, re li a bil i ty, or not want i ng to sit next to a methed out psy cho.When the city asks for ever more tax money these psy cho log i cal nu- ances are con ve nient ly ig nored by the anti- car ad vo cates. But noamoun t of fund ing will change these rea son s, and they are all per- fect ly valid for want i ng or need ing a ve hi cle.These same ad vo cates claim they’re wag ing the war on cars tore duce e mis sion s. It’s a right eous war, but by mak ing traf ﬁc worseand com mute times longer, they’re ac tu al ly achiev ing the op po site.Idling cars cre ate more e mis sion s. Their coun ter point to this is “in- duced de mand” — less con ges tion would in crease the amoun t ofcars and wipe out the gains made by less idling. You can ﬁnd in tel li- gen t ar gu ments on both sides of in duced de mand, but just as wecan’t con vince peo ple to stop dri ving be cause there is too much traf- ﬁc, less traf ﬁc will not con vince more peo ple to drive.",700
Page 18,"18Ei ther way, no mat ter how painful you make it, the data overthe past 40 years is clear — you will not change be hav ior by leg isla- tive force. Given this, it’s time to rec og nize the war on cars is notonly a waste of money, but may be ir re spon si bly worse for the en vi- ron men t and the e con o my, and adds stress to the ma jor i ty of peo pleon a daily basis.Again, don’t get emo about this. I’m not de mo niz ing bikes, try- ing to abol ish mass tran sit, or ad vo cat ing for in creased e mis sion s.We can and will re duce e mis sion s with elec tric and other non- petrobased ve hi cles, and e co nom ic in cen tives for al ter na tive forms oftrans porta tion that sat is fy the pre vi ous ly dis cussed psy cho log i calnu ances. We should focus ef fort s on in cen tives in stead of spend ingbil lion s of dol lars to crip ple the one mode of trans porta tion theover whelm ing ma jor i ty use. It is e co nom ic in cen tives — not e co- nom ic pain — that drive be hav ioral change at scale.If you en joyed this post you might also like my 2015 thought son Vi sion Zero → https://medium.com/just-opinions/thoughts-on-vision-zero-855b4c197076.Bike death s: https://www.port landore gon.gov/trans porta tion/74093Num ber of ve hi cles: https://www.ore- gon.gov/odot/dmv/pages/news/ve hi cle_stats.aspxTrimet rid er ship: https://trimet.org/meet ings/board/pdfs/2017-09-27/ridership- analysis.pdf → https://trimet.org/about/pdf/trimetridership.pdfE mis sion s and idling: http://web.cecs.pdx.edu/~maf/Con fer ence_Pro- ceed ings/2012_Do_Mo bil i ty_Based_Per for mance_Mea sures_Re ﬂec t_E- mis sion s_Trend s.pdf",562
Page 19,"1927 miles in JeffersonWildernessSource: https://scribe.rip/travel-adventures/27-miles-in-jefferson-wilderness-8d-fcfc887b59Cir cum nav i gat ing Three Fin gered Jack Three Fin gered Jack is an i n ac tive shield vol cano of the Cas cadeRange in the J ef fer son Wilder ness. The ﬁrst group to reach its 7,844'sum mit was in Sep tem ber 1923. We didn’t sum mit, but we did walk",130
Page 20,"20around the en tire moun tain for 3 days. The trip was tir ing ly long,treach er ous at points, and gor geous at all times, ex ceed ing all vi su alex pec ta tion s. Would do again.Here are my over al l stats. Thanks, Apple Watch.Dis tance: 27 miles El e va tion gain: 3,216 ft Steps: 74,844 Hourshik ing: 14 Calo ries burned hik ing: 4,697 Avg heart rate: 125 BPMDogs: 5 Hu man s: 5Here’s a handy map of our route and where we camped…",145
Page 21,"21 My good friend Kim joined us from Bend, along with David, Chris- tine, Drew, and my self. We had an equal amoun t of dogs.We s tart ed from the San ti am Pass trail head at 6pm and de cid edto go coun ter clock wise around Jack and take the Old Sum mit Trailon the East side of the moun tain. There are more lakes on this side,and with a 6pm start time I knew Booth Lake would be a good 5mile tar get to set up camp with some day light to spare.",123
Page 22,"22The West side of the moun tain is all PCT, and most of it is stillcov ered in snow, mak ing for some s ketchy tra vers es as the trail runsat high el e va tion on the fair ly steep s lopes of Jack. In this sec tionblood was shed. More on that later, but ﬁrst here’s what I brought…",92
Page 23,"23 My pack ended up being 35lbs. I like to stay 30 or below, but Ibrought a cou ple of items I’ve been want i ng to try out. I ended upnot bring ing my 40 cal Sig, opt ing in stead to carry my large tac ti cal",63
Page 24,"24blade for chop ping/saw ing ﬁre wood. Turns out it would n’t beneed ed, there was so much wood on the ground from for est ﬁres.New ad di tion s to my gear in clude a Deuter Back pack → https://nextadventure.net/deuter-futura-pro-40-backpack.html, a Nemo Hor net 2 per- son Ul tra light tent → https://nextadventure.net/nemo-hornet-2-person-ultra‐light-backpacking-tent.html, and the blow torch in the video below. Allper formed re al ly well. The Nemo is truly ultra light, but strong e- nough to with stand a se ri ous wind storm we ex pe ri enced our sec- ond night. The Deuter was the right size for me, and the fact that Ididn’t 100% hate it after 27 miles is the best tes ti mo ni al a back pack- could hope for. As for the blow torch, hater s will claim that’s justun nec es sary weight, but those fool ish peo ple will never feel theover whelm ing joy of being able to in stant ly light a ﬁre at 7am whenit’s 28º out.My other pack (dog pack) car ried their own food, bowl, our waterpu ri ﬁ er, and all the in gre di ents for s’mores!",340
Page 25,25,5
Page 26,"26Day 15 milesMost of the 13 miles up the East side of the moun tain is full of“sil ver trees” left over from the B&B Com plex ﬁre of 2003. So, if it’shot out you’ll be ex posed with no shade for hours. Thank ful ly wehad low 70ºs for highs. The trail s tart ed off beau ti ful ly lined withbear grass.",99
Page 27,27,5
Page 28,"28After two miles we came across the Square Lake, the ﬁrst of at leastsix lakes we’d see on the trip. Brisco, pic tured above, was pret tyhappy about it.From here the trail climbed a bit for an oth er 3 miles to our ﬁrstcamp spot at Booth Lake. We ar rived just in time for gold en hourwith e nough day light to setup camp and enjoy din ner and a ﬁre bythe lake.",111
Page 29,"29 After the ﬁre dimmed, and my ﬂask run neth dry, I took out the Go- ril la Pod → https://joby.com/us-en/gorillapod-ﬂexible-camera-tripods/ to takesome LE shots. The sky was crys tal clear and all of the stars cameout to pose.",86
Page 30,"30 I slept well that night and woke up re freshed, ready to hike 12 milesNorth to Wasco Lake. But ﬁrst, we en joyed the morn ing light, andbreak fast by the lake.",52
Page 31,"31 Day 212 milesDay 2 s tart ed off great, with sev er al more alpine lakes andstream s help ing the dogs stay cool in the ex posed burnt land scape.",43
Page 32,"32 As we s tart ed to gain el e va tion the views ex pand ed, af ford ing us anice clear glimpse of Mt. Wash ing ton and the Three Sis ter s.",45
Page 33,"33 After about 6 miles we reached Jack Lake. Here you have two op- tion s. Con tin ue North on the old sum mit pass trail, or cut West toCanyon Creek Mead ows. I was glad we chose to cut in and add an- oth er 3 miles to the 21 mile loop. The trail to the mead ow was mosscov ered pines, and was in stark con trast to the sil ver trees we hadwalked a mongst up to this point.",111
Page 34,"34 We came upon an oth er alpine lake formed from snow melt. The sunwas warm e nough for me to jump into this one. Then… I im me di- ate ly jumped out. It was not warm at all, but felt so good to getclean.",62
Page 35,"35Just an oth er mile through the for est we came upon Canyon CreekMead ows. This area re mind ed me a lot of Yosemite. It sits at thebase of the North east rock face of Three Fin gered Jack, and has nu- mer ous run ning stream s criss cross ing through ﬁeld s of mil lion s ofwild ﬂow er s. If I go back I would def i nite ly setup camp in thismead ow, and in ret ro spec t we should have.",119
Page 36,"36 After leav ing Canyon Creek Mead ows the trail forms a loop back toJack Lake Trail head . We planned to camp at Wasco Lake, but had tohunt a bit to ﬁnd its trail head . Turns out it was semi hid den acrossthe main river that ﬂowed out of the mead ow.",75
Page 37,"37 After an easy ford ing of the river the trail be comes quite rough withmany fall en trees to be climbed over and ducked under. We were be- gin ning to tire at this point hav ing gone about 9 miles al ready, andthe trail looked some thing like this…",65
Page 38,"38 We ﬁ nal ly made it to Wasco (the sec ond lake on the left above), andfound an ideal place to set up camp right on a clear ing on the lake. Itwas ideal ex cep t for one thing… we’d be camp ing with 1 mil lionhangry mos qui tos. It was so bad we could n’t even stop to hang out.We had to push on to ﬁnd an oth er camp spot. Un able to carry muchwater we need ed to camp a long side it. This would end up being achal lenge as the trail rapid ly gained el e va tion from this point con- nect ing to the Pa cif ic Crest Trail.This next photo was taken about 1.5 miles after (and above)Wasco lake. You can see by look ing down that we were s tart ing tocol lec t the 3K feet of el e va tion gain. Bru tal after a long day of hik ing.",219
Page 39,"39 Head ing up high er still, we s tart ed to ﬁnd snow.",23
Page 40,"40 Fi nal ly, after 2 more miles of climb ing, at around 6500' we cameacross an alpine snow melt area that was s tart ing to form yet an oth- er small “lake”. We ﬁ nal ly took off our packs and set up “home”.The spot was ac tu al ly pret ty idyl lic with views of both Mt. J ef- fer son and the jagged sum mit of Three Fin gered Jack.",110
Page 41,41,5
Page 42,"42 The icy lake felt great on sore feet, and sup plied some much need edhigh qual i ty H2o.",30
Page 43,43,5
Page 44,"44 We quick ly s tart ed a ﬁre as the temps and wind were mak ing thisspot pret ty chilly. We ate din ner, made S’mores, and shot the usualcamp ﬁre shit.",55
Page 45,45 As the sun went down we all en joyed the lentic u lar cloud s re ﬂect ingthe light around Mt. J ef fer son . It was an a maz ing night.,48
Page 46,46,5
Page 47,"47 After the ﬁre died down the wind picked up and the tempsdropped. We had a nasty wind storm overnight and the temps werein the low 30s. It made it d if ﬁ cult to sleep, and the pups cud dled intight. I had been pissed the whole way about the weight of my -9ºbag I was haul ing, but was happy I had it that night. We slept in un-til about 9am and woke up cold, ready to get mov ing. I used theblow torch to re light the ﬁre quick ly. We ate break fast and head edout for the ﬁnal stretch down the PCT.Day 310 miles out — on the PCT",161
Page 48,48Day 3 s tart ed with an oth er freeze dried break fast skil let andsome de li cious soup in a bag that Chris tine brought. We quick ly be-gan hit ting long stretch es of snow that ob scured the trail. As wehead ed up the ridge to get close to Jack’s sum mit we found our- selves scram bling off trail.,87
Page 49,49,5
Page 50,50 It was all worth it for the close up views of Jack’s rugged sum mitpeaks. We re con nect ed with the PCT and after a few switch back s thatclimbed over the ridge we head ed South along the West s lopes ofJack. Most of this por tion of the trail was cov ered by snow. The go-ing was very slow and at times treach er ous as the snow was slickwith melt and the angle of the s lopes was steep.,111
Page 51,"51 The photo above is the be gin ning of this por tion of the PCT. It gotmuch much more snow cov ered. I don’t have any pho to s from thatpor tion of the trail be cause I packed my cam er a away to main tainbal ance and jazz hands.This is where we shed some blood. Dave lost foot ing mul ti pletimes and slid dan ger ous ly down the moun tain only stop ping him- self by s lid ing into tree limbs, cut ting up his arm and bash ing hisknee into a trunk. It swelled up pret ty big and I felt bad he still hadmany miles of snow to tra verse.After mak ing it through this ex haust ing stretch we ﬁ nal ly camearound the south side of the moun tain. I could al most taste the beer.We made our way down the ﬁnal 3 miles stretch back down to theSan ti am trail head .",217
Page 52,"52We limped into the park ing lot and drove the 3 hours home to Pdx.If I were to do it over again I’d spend an extra night out there andCamp in Canyon Creek Mead ows. Other than that, this trip wasper fec t.I hope you found this guide help ful.The end.",73
Page 53,"53Summiting Mt. HoodSource: https://scribe.rip/travel-adventures/summiting-mt-hood-d2707522b9c4De scend ing in a bliz zard My friend Daryl and I climbed the high est peak in Ore gon (11,250 ft)for the ﬁrst time. It was as epic, and more dan ger ous than I hadimag ined.",96
Page 54,54Gear…Ther mal top and bot tom base layerBreath able long sleeve TWa ter proof wind break erCo lum bi a S ports wear Outdry puffyMar mot puffySki pantsHead lam p2 pairs of glovesMoun taineer ing bootsCram pon sIce axeRope har ness5.5 liter back pack 2 liter s of water6 en er gy barsGoPro Hero 7Trek poles,94
Page 55,55 Climber s reg is tra tion 12:30am,16
Page 56,"56At 1am we de part ed Tim ber line Lodge at 5,800 ft and s tart ed climb- ing in the dark ness. I was struck by how steep the hike was al ready,even at (rel a tive ly) low el e va tion. Winds were steady at around30mph. Our pace was slow, and there wasn’t any thing to look at,but I felt great.We climbed for about 4 hours in the dark past Dev il s K itchen andCrater Rock, and on up to Hog back at 10,600 ft. We took break severy hour to hy drate and eat some en er gy s nack s. It was cold, butwe were dressed for suc cess.",157
Page 57,"57As we ap proached Hogs back the sun began to rise through thecloud s and s low ly il lu mi nate the moun tain. For the ﬁrst time I couldsee how high we’d gone. It was an a maz ing sight that my GoProdidn’t cap ture ef fec tive ly. In fact, it was a chal lenge to ﬁlm or takepho to s on the climb in gen er al Wind, cold, and bulky glovesmade it d if ﬁ cult to start, stop, change set tings, and con trol the Go-Pro. Too windy for voice ac ti va tion. Even tu al ly my GoPro frozesolid.Here’s the view from 10,000 feet look ing back down the moun- tain.Right be fore Hogs back we stopped to leave our trek poles, pull outour ice axes, and rope up to one an oth er. I would be in the mid dlewith Aaron lead ing and Daryl be hind me. The s teep ness of theclimb at this point war rant ed the rop ing, and team work would beneed ed to keep safe dis tances be tween one an oth er so the ropeswould not slack too much. When one of us fell or s tart ed to slidedown the moun tain the oth er s would self ar rest, which ba si cal lymeans fall on your ice axe so it an chors you into the ice.Just above Hogs back it was time to de cide whether to reach forthe sum mit or turn back. Most sum mit at tempt s fail due to weath eror lack of ﬁt ness. I was still feel ing great, and Daryl gave the nod tosum mit as well. The weath er was get ting a bit can tan ker ous, but wethought we’d have time to get up and down be fore it got hangry.Aaron chose the Pearly Gates as the en try way to the sum mit vsthe Old Chute. The climb to the gates on the Hogs back ridge linewas in tense, ba si cal ly on all fours dig ging your cram pon s into thesnow push ing y our self up the moun tain with each step.Once at the Gates, look ing up it was an al most per fect ly ver ti cal slotbe tween ice walls. It was beau ti ful and in tim i dat ing. Most ac ci dentsand death s hap pen in this area of the moun tain due to rock fal l. Here",579
Page 58,"58are some of the other ways peo ple don’t have a good time → https://mountainshop.net/community/news/2018-08-09/climbing-mount-hood--route-danger‐s.html.Given the rock and ice fall dan ger you don’t want to linger in thisarea, so push ing on up through the Gates quick ly had my a dren a- line and heart rate maxed. The winds had picked up to about 40mph, and ice pel let s were s tart ing to shwap our faces. We were ba si- cal ly yelling at each other Band of Broth er s style to push onthrough. And push we did, all the way to the sum mit.This photo was taken by Aaron on the sum mit. Looks nice andplacid, right? The photo ex po sure whit ed out the weath er may hemthat was just s tart ing. Also d if ﬁ cult to see: I was hold ing up Darylby his back pack . The winds were that strong.",230
Page 59,59,5
